Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code,COM,TYP_IRIS,MODIF_IRIS,LAB_IRIS,P19_POP
 Avenue de Bordeaux,1.0,33680,33680005,44.97648,-1.06512,Gazole,LACANAU,1.4200350877192982,332140000,33214,Z,0,5,5070.0
 Avenue de Bordeaux,2.0,33680,33680005,44.97648,-1.06512,SP95,LACANAU,1.483405405405405,332140000,33214,Z,0,5,5070.0
 Avenue de Bordeaux,3.0,33680,33680005,44.97648,-1.06512,E85,LACANAU,0.6426363636363637,332140000,33214,Z,0,5,5070.0
 Avenue de Bordeaux,4.0,33680,33680005,44.97648,-1.06512,GPLc,LACANAU,0.79,332140000,33214,Z,0,5,5070.0
 Avenue de Bordeaux,5.0,33680,33680005,44.97648,-1.06512,E10,LACANAU,1.4563492063492065,332140000,33214,Z,0,5,5070.0
"4, rue Emile Baudoux",1.0,33680,33680003,45.001960010000005,-1.20044403,Gazole,Lacanau-Océan,1.4228,332140000,33214,Z,0,5,5070.0
"4, rue Emile Baudoux",2.0,33680,33680003,45.001960010000005,-1.20044403,SP95,Lacanau-Océan,1.5132,332140000,33214,Z,0,5,5070.0
"4, rue Emile Baudoux",6.0,33680,33680003,45.001960010000005,-1.20044403,SP98,Lacanau-Océan,1.54,332140000,33214,Z,0,5,5070.0
RTE DE BORDEAUX,1.0,33680,33680001,44.97654,-1.06739,Gazole,Lacanau,1.4207,332140000,33214,Z,0,5,5070.0
RTE DE BORDEAUX,5.0,33680,33680001,44.97654,-1.06739,E10,Lacanau,1.4696224489795915,332140000,33214,Z,0,5,5070.0
Résidence les Huga,1.0,33680,33680004,45.006,-1.171,Gazole,Lacanau,1.5271428571428571,332140000,33214,Z,0,5,5070.0
Résidence les Huga,2.0,33680,33680004,45.006,-1.171,SP95,Lacanau,1.602,332140000,33214,Z,0,5,5070.0
Résidence les Huga,5.0,33680,33680004,45.006,-1.171,E10,Lacanau,1.63,332140000,33214,Z,0,5,5070.0
Résidence les Huga,6.0,33680,33680004,45.006,-1.171,SP98,Lacanau,1.6233333333333333,332140000,33214,Z,0,5,5070.0
 Avenue de Brédasque,1.0,13090,13097001,43.53556,5.4134,Gazole,AIX-EN-PROVENCE,1.399925287356322,130010709,13001,H,0,2,2755.69189149226
 Avenue de Brédasque,4.0,13090,13097001,43.53556,5.4134,GPLc,AIX-EN-PROVENCE,0.8027866666666666,130010709,13001,H,0,2,2755.69189149226
 Avenue de Brédasque,5.0,13090,13097001,43.53556,5.4134,E10,AIX-EN-PROVENCE,1.4296263157894735,130010709,13001,H,0,2,2755.69189149226
 Avenue de Brédasque,6.0,13090,13097001,43.53556,5.4134,SP98,AIX-EN-PROVENCE,1.5043715846994534,130010709,13001,H,0,2,2755.69189149226
 Avenue de Conthe,1.0,15000,15000012,44.91394,2.42741,Gazole,AURILLAC,1.5079166666666668,150140113,15014,H,0,1,1944.67913218108
