ID;Latitude;Longitude;CodePostal;Adresse;Ville;PrixNom;PrixID;PrixValeur,mean;Colonne1
61000005;4843961;10476;61000;71 Avenue de Quakenbruck;Alen̤on;SP98;6;1613,659574;1,613659574
61000006;4843500;9700;61000;1 rue Denis Papin;ALEN̤ON;Gazole;1;1429,80198;1,42980198
61000006;4843500;9700;61000;1 rue Denis Papin;ALEN̤ON;SP95;2;1554,772277;1,554772277
61000006;4843500;9700;61000;1 rue Denis Papin;ALEN̤ON;SP98;6;1590,382353;1,590382353
61000008;4844542;9912;61000;111 Avenue de Basingstoke;Alen̤on;Gazole;1;1490,391304;1,490391304
61000008;4844542;9912;61000;111 Avenue de Basingstoke;Alen̤on;SP95;2;1631;1,631
61000009;4844400;9900;61000;126 AVENUE BASINGSTOKE;ALENCON;Gazole;1;1426,455556;1,426455556
61000009;4844400;9900;61000;126 AVENUE BASINGSTOKE;ALENCON;E85;3;652,1111111;0,652111111
61000009;4844400;9900;61000;126 AVENUE BASINGSTOKE;ALENCON;GPLc;4;882,1111111;0,882111111
61000009;4844400;9900;61000;126 AVENUE BASINGSTOKE;ALENCON;E10;5;1514,333333;1,514333333
61000009;4844400;9900;61000;126 AVENUE BASINGSTOKE;ALENCON;SP98;6;1603,4;1,6034
61000011;4372400;725600;6100;63 BLD GORBELLA;NICE;Gazole;1;1572,244444;1,572244444
61000011;4372400;725600;6100;63 BLD GORBELLA;NICE;E10;5;1628,544444;1,628544444
61000011;4372400;725600;6100;63 BLD GORBELLA;NICE;SP98;6;1715,722222;1,715722222
61003001;4843300;6300;61000;Route de bretagne - BP 82;ALEN̤ON;Gazole;1;1421,917808;1,421917808
61003001;4843300;6300;61000;Route de bretagne - BP 82;ALEN̤ON;SP95;2;1546,333333;1,546333333
61003001;4843300;6300;61000;Route de bretagne - BP 82;ALEN̤ON;SP98;6;1579,652778;1,579652778
61100003;4875200;-57500;61100;Le Tremblay;Flers;Gazole;1;1457,133333;1,457133333
61100003;4875200;-57500;61100;Le Tremblay;Flers;SP95;2;1579;1,579
61100003;4875200;-57500;61100;Le Tremblay;Flers;SP98;6;1616,871429;1,616871429
61100004;4875089;-55049;61100;250 Rue de Paris;Flers;Gazole;1;1550;1,55
61100004;4875089;-55049;61100;250 Rue de Paris;Flers;SP95;2;1692,5;1,6925
61100005;4874200;-56300;61100;93 Rue de la Chauss̩e;FLERS;Gazole;1;1415,384615;1,415384615
61100005;4874200;-56300;61100;93 Rue de la Chauss̩e;FLERS;SP95;2;1536,432432;1,536432432
61100005;4874200;-56300;61100;93 Rue de la Chauss̩e;FLERS;E85;3;611;0,611
61100005;4874200;-56300;61100;93 Rue de la Chauss̩e;FLERS;GPLc;4;735;0,735
61100005;4874200;-56300;61100;93 Rue de la Chauss̩e;FLERS;E10;5;1489,534884;1,489534884
61100006;4874400;-56300;61100;108 Rue de Messei;FLERS;Gazole;1;1419,878788;1,419878788
61100006;4874400;-56300;61100;108 Rue de Messei;FLERS;SP95;2;1541,615385;1,541615385
61100006;4874400;-56300;61100;108 Rue de Messei;FLERS;E85;3;640,4666667;0,640466667
61100006;4874400;-56300;61100;108 Rue de Messei;FLERS;E10;5;1494,676471;1,494676471
61100007;4876653,009;-72290,53563;61800;ROUTE DE PARIS;TINCHEBRAY;Gazole;1;1454,117647;1,454117647
61100007;4876653,009;-72290,53563;61800;ROUTE DE PARIS;TINCHEBRAY;SP95;2;1584,117647;1,584117647
61100007;4876653,009;-72290,53563;61800;ROUTE DE PARIS;TINCHEBRAY;SP98;6;1617,222222;1,617222222
61100008;4873000;-57900;61100;route de domfront;FLERS;Gazole;1;1406,963636;1,406963636
61100008;4873000;-57900;61100;route de domfront;FLERS;E10;5;1489,534884;1,489534884
61100008;4873000;-57900;61100;route de domfront;FLERS;SP98;6;1573,714286;1,573714286
61100009;4875100;-55600;61100;204 rue DE PARIS;Flers;Gazole;1;1578;1,578
61100009;4875100;-55600;61100;204 rue DE PARIS;Flers;SP95;2;1680;1,68
61100009;4875100;-55600;61100;204 rue DE PARIS;Flers;SP98;6;1710;1,71
61110002;4842400;77200;61110;ZA ST MARC;R̩malard;Gazole;1;1424,833333;1,424833333
61110002;4842400;77200;61110;ZA ST MARC;R̩malard;SP95;2;1549,615385;1,549615385
61110002;4842400;77200;61110;ZA ST MARC;R̩malard;SP98;6;1581,142857;1,581142857
61120001;4894000;19800;61120;rue des pins;VIMOUTIERS;Gazole;1;1600;1,6
61120001;4894000;19800;61120;rue des pins;VIMOUTIERS;SP95;2;1725;1,725
61120001;4894000;19800;61120;rue des pins;VIMOUTIERS;SP98;6;1755;1,755
61130001;4837500;54200;61130;Rue Guillaume SEZNEC;SAINT-MARTIN-DU-VIEUX-BELLEME;Gazole;1;1434,888889;1,434888889
61130001;4837500;54200;61130;Rue Guillaume SEZNEC;SAINT-MARTIN-DU-VIEUX-BELLEME;SP95;2;1566,6;1,5666
61130001;4837500;54200;61130;Rue Guillaume SEZNEC;SAINT-MARTIN-DU-VIEUX-BELLEME;SP98;6;1599,75;1,59975
61140001;4853000;-47200;61140;ZA Les Fourmis;La Chapelle-d'Andaine;Gazole;1;1434;1,434
61140001;4853000;-47200;61140;ZA Les Fourmis;La Chapelle-d'Andaine;SP95;2;1579;1,579
61140001;4853000;-47200;61140;ZA Les Fourmis;La Chapelle-d'Andaine;SP98;6;1597;1,597
61140002;4855000;-40300;61140;Route de Couterne;Bagnoles-de-l'Orne;Gazole;1;1441,666667;1,441666667
61140002;4855000;-40300;61140;Route de Couterne;Bagnoles-de-l'Orne;SP95;2;1564;1,564
61140002;4855000;-40300;61140;Route de Couterne;Bagnoles-de-l'Orne;SP98;6;1577,333333;1,577333333
61160001;4885412;5155;61160;Avenue de la Cav̩e d'Auge;Trun;Gazole;1;1462;1,462
61160001;4885412;5155;61160;Avenue de la Cav̩e d'Auge;Trun;SP95;2;1602;1,602
61160001;4885412;5155;61160;Avenue de la Cav̩e d'Auge;Trun;SP98;6;1632,833333;1,632833333
61170001;4850357,961;35940,89411;61170;Lieu-Dit les Naudi̬res;SAINT-JULIEN-SUR-SARTHE;Gazole;1;1446,818182;1,446818182
